name,demand,cutoff,yield,trueyield,preferability
University of New Haven,1174,0.10141217104444289,0.16,0.0017350823285781237,3.502495097793036e-5
Simpson University,150,0.1017212286851795,0.47,0.00022176481596869973,4.485260982049925e-6
Massachusetts Maritime Academy,300,0.10257959611958946,0.49,0.00044395386052703783,9.027485815828221e-6
University of La Verne,623,0.10354415271097263,0.23,0.0009229361648857018,1.8881414899503176e-5
The University of Texas at San Antonio,4493,0.10385505825018594,0.4,0.006658412278033074,0.00013648377461795137
Robert Morris University,998,0.10449093232715786,0.22,0.0014800387126772858,3.0453475906331756e-5
Eastern Connecticut State University,985,0.10486481210586618,0.3,0.0014613697809132044,3.0136257771176336e-5
Roberts Wesleyan College,206,0.10520296109990898,0.35,0.0003057420715260209,6.317577147681627e-6
Lycoming College,347,0.10565197605425748,0.28,0.0005152706963674001,1.0675346503463687e-5
Marymount University,400,0.10578874998962766,0.23,0.0005940628351728154,1.2317684252031537e-5
Saint Francis University,403,0.10682586677582892,0.32,0.0005992132810886577,1.2500693367907444e-5
Hardin-Simmons University,415,0.10769796399511403,0.53,0.0006176589437508504,1.295215923667692e-5
Madonna University,191,0.10778838381016159,0.29,0.0002843007567094599,5.9649062300587275e-6
Midway College,115,0.10779149228823898,0.48,0.00017117644466175508,3.5915140900360585e-6
York College Pennsylvania,1064,0.10824647553461039,0.15,0.0015845622860605237,3.3335714936891005e-5
Kentucky Wesleyan College,163,0.11000007154515799,0.24,0.00024322608775243694,5.170058334286453e-6
Texas State University,5181,0.11135833185799653,0.36,0.0077428249460332315,0.00016591915143218908
Eastern University,459,0.11146124595718544,0.39,0.0006860390433604468,1.4709528626272436e-5
Roosevelt University,444,0.11167532891596894,0.17,0.0006637793966160327,1.4249437524834773e-5
Saint Martin's University,159,0.1117018212300299,0.28,0.0002377118731529618,5.103750407337658e-6
Wheeling Jesuit University,238,0.11187299286277784,0.27,0.0003558888665276166,7.648388814305117e-6
Ursuline College,103,0.11220591656358625,0.4,0.0001540768886461371,3.3174443564925126e-6
Valdosta State University,1734,0.11225749361054195,0.55,0.002594027642831297,5.586841826443202e-5
SUNY Maritime College,331,0.11227089330425137,0.4,0.0004951765341034441,1.066556531598417e-5
D'Youville College,258,0.11353909246286721,0.28,0.0003865205949981583,8.38366758834704e-6
Northern Arizona University,4772,0.11381921599171216,0.15,0.007151392720907924,0.00015535498330006894
Framingham State University,826,0.11740505226115888,0.29,0.001242885530035197,2.75222243047306e-5
Southwestern College,128,0.1175180465748508,0.33,0.0001926267770984925,4.268080341024612e-6
Florida Gulf Coast University,2761,0.11788504512151521,0.39,0.0041567484485180665,9.228391730594724e-5
University of Massachusetts-Dartmouth,1443,0.12102367927791761,0.25,0.0021802268171256323,4.921366969706531e-5
